,net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc,Year
6340,Endinet,871688700000002681,Lenningenhof,5625NT,5625NT,EINDHOVEN,13.0,76.92,100.0,54,3x25,3841,69.23,46.15,
6341,Endinet,871688700000002681,Ettelbruckhof,5625NV,5625NV,EINDHOVEN,10.0,100.0,100.0,60,3x25,3414,0.0,0.0,
6342,Endinet,871688700000002681,Franklin D Rooseveltlaan,5625PA,5625PA,EINDHOVEN,18.0,77.78,100.0,50,3x25,3959,66.67,50.0,
6343,Endinet,871688700000002681,Franklin D Rooseveltlaan,5625PB,5625PB,EINDHOVEN,23.0,100.0,100.0,48,1x35,4113,34.78,21.74,
6344,Endinet,871688700000002681,Franklin D Rooseveltlaan,5625PC,5625PC,EINDHOVEN,15.0,93.33,100.0,60,3x25,2490,6.67,6.67,
6345,Endinet,871688700000002681,Franklin D Rooseveltlaan,5625PD,5625PD,EINDHOVEN,14.0,92.86,100.0,57,1x35,3672,14.29,0.0,
6346,Endinet,871688700000002681,Tiberiaspad,5625PE,5625PE,EINDHOVEN,29.0,100.0,100.0,83,1x35,2520,24.14,17.24,
6347,Endinet,871688700000002681,Bethlehemlaan,5625PG,5625PG,EINDHOVEN,11.0,100.0,100.0,91,1x35,3066,0.0,0.0,
6348,Endinet,871688700000002681,Bethlehemlaan,5625PH,5625PH,EINDHOVEN,13.0,100.0,100.0,100,1x35,2451,0.0,0.0,
6349,Endinet,871688700000002681,Bethaniestraat,5625PJ,5625PJ,EINDHOVEN,16.0,100.0,100.0,75,1x35,2090,12.5,6.25,
6350,Endinet,871688700000002681,Sichemstraat,5625PK,5625PK,EINDHOVEN,16.0,100.0,100.0,81,1x35,2133,6.25,6.25,
6351,Endinet,871688700000002681,Hebronstraat,5625PL,5625PL,EINDHOVEN,16.0,100.0,100.0,94,1x35,2678,0.0,0.0,
6352,Endinet,871688700000002681,Nazarethlaan,5625PM,5625PM,EINDHOVEN,22.0,100.0,100.0,82,1x35,2631,9.09,4.55,
6353,Endinet,871688700000002681,Nazarethlaan,5625PN,5625PP,EINDHOVEN,24.0,100.0,100.0,92,1x35,1917,4.17,0.0,
6354,Endinet,871688700000002681,Jerusalemlaan,5625PR,5625PR,EINDHOVEN,16.0,100.0,100.0,94,1x35,1443,6.25,6.25,
6355,Endinet,871688700000002681,Jerusalemlaan,5625PS,5625PS,EINDHOVEN,16.0,100.0,100.0,81,1x35,2425,25.0,12.5,
6356,Endinet,871688700000002681,Jerusalemlaan,5625PT,5625PT,EINDHOVEN,16.0,100.0,100.0,75,1x35,2634,12.5,12.5,
6357,Endinet,871688700000002681,Bisschop Bekkerslaan,5625PV,5625RA,EINDHOVEN,24.0,100.0,100.0,75,1x35,5908,8.33,4.17,
6358,Endinet,871688700000002681,Samarialaan,5625RB,5625RB,EINDHOVEN,22.0,95.45,100.0,86,1x35,2688,9.09,9.09,
6359,Endinet,871688700000002681,Samarialaan,5625RC,5625RC,EINDHOVEN,20.0,100.0,100.0,85,1x35,2426,10.0,10.0,
6360,Endinet,871688700000002681,Samarialaan,5625RD,5625RD,EINDHOVEN,30.0,100.0,100.0,93,1x35,2797,10.0,6.67,
6361,Endinet,871688700000002681,Samarialaan,5625RE,5625RE,EINDHOVEN,16.0,100.0,100.0,81,1x35,3195,25.0,12.5,
6362,Endinet,871688700000002681,Samarialaan,5625RG,5625RG,EINDHOVEN,14.0,100.0,100.0,86,1x35,2612,21.43,14.29,
6363,Endinet,871688700000002681,Judealaan,5625RH,5625RH,EINDHOVEN,12.0,100.0,100.0,83,1x35,2588,25.0,8.33,
6364,Endinet,871688700000002681,Judealaan,5625RJ,5625RJ,EINDHOVEN,10.0,100.0,100.0,100,1x35,2449,20.0,0.0,
6365,Endinet,871688700000002681,Judealaan,5625RK,5625RK,EINDHOVEN,16.0,100.0,100.0,88,1x35,1860,6.25,6.25,
6366,Endinet,871688700000002681,Bethelstraat,5625RL,5625RL,EINDHOVEN,12.0,100.0,100.0,58,1x35,2540,50.0,41.67,
6367,Endinet,871688700000002681,Bethelstraat,5625RM,5625RM,EINDHOVEN,16.0,100.0,100.0,94,1x35,2558,0.0,0.0,
6368,Endinet,871688700000002681,Gibeonstraat,5625RN,5625RN,EINDHOVEN,22.0,100.0,100.0,77,1x35,2996,18.18,13.64,
6369,Endinet,871688700000002681,Gibeonstraat,5625RP,5625RP,EINDHOVEN,10.0,100.0,100.0,100,1x35,2419,0.0,0.0,
6370,Endinet,871688700000002681,Sionstraat,5625RR,5625RS,EINDHOVEN,20.0,100.0,100.0,80,1x35,3293,15.0,10.0,
6371,Endinet,871688700000002681,Nebostraat,5625RT,5625RT,EINDHOVEN,21.0,100.0,100.0,81,1x35,3084,23.81,19.05,
6372,Endinet,871688700000002681,Taborstraat,5625RW,5625SB,EINDHOVEN,20.0,100.0,95.0,55,1x35,3952,25.0,15.0,
6373,Endinet,871688700000002681,Kruisakker,5625SC,5625SC,EINDHOVEN,32.0,100.0,100.0,78,1x35,5027,9.38,6.25,
6374,Endinet,871688700000002681,Kruisakker,5625SE,5625SE,EINDHOVEN,35.0,100.0,100.0,74,1x35,2061,20.0,20.0,
6375,Endinet,871688700000002681,Smetsakker,5625SG,5625SG,EINDHOVEN,32.0,100.0,100.0,97,1x35,3474,9.38,3.13,
6376,Endinet,871688700000002681,Smetsakker,5625SH,5625SH,EINDHOVEN,17.0,94.12,100.0,82,1x35,3129,0.0,0.0,
6377,Endinet,871688700000002681,Maalakker,5625SJ,5625SJ,EINDHOVEN,12.0,100.0,100.0,83,1x35,3202,0.0,0.0,
6378,Endinet,871688700000002681,Maalakker,5625SK,5625SK,EINDHOVEN,74.0,100.0,100.0,76,1x35,2048,6.76,4.05,
6379,Endinet,871688700000002681,Poortakker,5625SM,5625SN,EINDHOVEN,14.0,100.0,100.0,50,1x35,3294,0.0,0.0,
6380,Endinet,871688700000002681,Korfakker,5625SP,5625SP,EINDHOVEN,75.0,100.0,100.0,68,1x35,3074,20.0,12.0,
6381,Endinet,871688700000002681,Heeghtakker,5625SV,5625SV,EINDHOVEN,12.0,83.33,100.0,42,3x25,2882,41.67,25.0,
6382,Endinet,871688700000002681,Heeghtakker,5625SW,5625SW,EINDHOVEN,75.0,100.0,100.0,71,1x35,3351,13.33,8.0,
6383,Endinet,871688700000002681,Baltesakker,5625TA,5625TA,EINDHOVEN,12.0,91.67,100.0,67,1x35,3281,33.33,25.0,
6384,Endinet,871688700000002681,Baltesakker,5625TC,5625TC,EINDHOVEN,10.0,100.0,100.0,50,3x25,13588,60.0,50.0,
6385,Endinet,871688700000002681,Jericholaan,5625TE,5625TE,EINDHOVEN,24.0,95.83,100.0,71,1x35,6035,25.0,16.67,
6386,Endinet,871688700000002681,Jericholaan,5625TG,5625TG,EINDHOVEN,20.0,100.0,100.0,95,1x35,3265,0.0,0.0,
6387,Endinet,871688700000002681,Jericholaan,5625TH,5625TH,EINDHOVEN,14.0,100.0,100.0,64,3x25,9944,21.43,21.43,
6388,Endinet,871688700000002681,Kampakker,5625VC,5625VC,EINDHOVEN,19.0,100.0,100.0,95,3x25,3792,5.26,0.0,
6389,Endinet,871688700000002681,Kampakker,5625VD,5625VD,EINDHOVEN,18.0,100.0,100.0,100,3x25,1555,5.56,5.56,
6390,Endinet,871688700000002681,Kampakker,5625VE,5625VE,EINDHOVEN,18.0,100.0,100.0,100,3x25,1792,0.0,0.0,
6391,Endinet,871688700000002681,Kampakker,5625VG,5625VG,EINDHOVEN,15.0,80.0,100.0,67,1x35,2674,46.67,40.0,
6392,Endinet,871688700000002681,Heuvelakker,5625VH,5625VH,EINDHOVEN,18.0,100.0,100.0,100,3x25,2366,11.11,5.56,
6393,Endinet,871688700000002681,Heuvelakker,5625VJ,5625VJ,EINDHOVEN,18.0,100.0,100.0,100,3x25,3230,5.56,0.0,
6394,Endinet,871688700000002681,Heuvelakker,5625VK,5625VK,EINDHOVEN,19.0,100.0,100.0,95,3x25,4145,5.26,0.0,
6395,Endinet,871688700000002681,Heuvelakker,5625VL,5625VL,EINDHOVEN,18.0,100.0,100.0,100,3x25,3975,5.56,0.0,
6396,Endinet,871688700000002681,Heuvelakker,5625VM,5625VM,EINDHOVEN,18.0,100.0,100.0,100,3x25,1424,11.11,5.56,
6397,Endinet,871688700000002681,Heuvelakker,5625VN,5625VN,EINDHOVEN,19.0,100.0,100.0,95,3x25,3485,10.53,0.0,
6398,Endinet,871688700000002681,Heuvelakker,5625VP,5625VP,EINDHOVEN,15.0,80.0,100.0,53,1x35,2440,33.33,33.33,
6399,Endinet,871688700000002681,Hulstbosakker,5625VR,5625VR,EINDHOVEN,23.0,78.26,100.0,52,3x25,3494,56.52,43.48,
6400,Endinet,871688700000002681,Hulstbosakker,5625VS,5625VS,EINDHOVEN,15.0,100.0,100.0,53,1x35,3878,33.33,33.33,
6401,Endinet,871688700000002681,Hulstbosakker,5625VT,5625VT,EINDHOVEN,18.0,100.0,100.0,83,1x35,2612,16.67,16.67,
6402,Endinet,871688700000002681,Hulstbosakker,5625VW,5625VW,EINDHOVEN,12.0,100.0,100.0,83,1x35,2747,0.0,0.0,
6403,Endinet,871688700000002681,Bekerakker,5625VX,5625VX,EINDHOVEN,17.0,100.0,100.0,65,1x35,3782,11.76,5.88,
6404,Endinet,871688700000002681,Bekerakker,5625VZ,5625VZ,EINDHOVEN,23.0,95.65,100.0,74,1x35,2900,13.04,8.7,
6405,Endinet,871688700000002681,Pachtakker,5625WC,5625WD,EINDHOVEN,23.0,95.65,100.0,78,1x35,3849,17.39,13.04,
6406,Endinet,871688700000002681,Mortelakker,5625WE,5625WE,EINDHOVEN,12.0,100.0,100.0,92,1x35,2190,8.33,0.0,
6407,Endinet,871688700000002681,Covelakker,5625WG,5625WG,EINDHOVEN,13.0,100.0,100.0,62,1x35,3285,15.38,15.38,
6408,Endinet,871688700000002681,Covelakker,5625WH,5625WH,EINDHOVEN,14.0,100.0,100.0,100,1x35,2501,0.0,0.0,
6409,Endinet,871688700000002681,Veelakker,5625WJ,5625WJ,EINDHOVEN,25.0,100.0,100.0,88,1x35,3157,20.0,8.0,
